t	kind	avgMs	worstMs	fps	enemies	paths	projectiles	wave
0.4	SPIKE	32	32		0	0	0	0
0.8	SPIKE	31	31		0	0	0	0
1.1	sec	16.3	32	61.4	0	0	0	0
1.2	SPIKE	33	33		0	0	0	0
1.6	SPIKE	31	31		0	0	0	0
2	SPIKE	32	32		0	0	0	0
2.1	sec	16.8	33	59.5	3	0	0	1
2.4	SPIKE	32	32		3	0	0	1
2.8	SPIKE	32	32		3	0	0	1
3.1	sec	16.5	32	60.5	3	0	0	1
3.2	SPIKE	32	32		3	0	0	1
3.6	SPIKE	31	31		3	0	0	1
3.9	SPIKE	34	34		3	0	0	1
4.1	sec	16.8	34	59.6	3	0	0	1
4.3	SPIKE	30	30		3	0	0	1
4.7	SPIKE	32	32		3	0	0	1
5.1	SPIKE	33	33		3	0	0	1
5.1	sec	16.8	33	59.5	3	0	0	1
5.5	SPIKE	33	33		3	0	0	1
5.8	SPIKE	32	32		3	0	0	1
6.1	sec	16.5	33	60.5	3	0	0	1
6.2	SPIKE	31	31		3	0	0	1
6.6	SPIKE	31	31		3	0	0	1
7	SPIKE	32	32		3	0	0	1
7.1	sec	16.8	32	59.5	3	0	0	1
7.4	SPIKE	32	32		3	0	0	1
7.6	SPIKE	24	24		3	1	0	1
7.8	SPIKE	31	31		3	0	0	1
8.1	sec	16.5	32	60.5	3	0	0	1
8.2	SPIKE	32	32		3	0	0	1
8.5	SPIKE	32	32		3	0	0	1
8.9	SPIKE	34	34		3	1	0	1
9.2	sec	16.8	34	59.5	3	0	0	1
9.3	SPIKE	32	32		3	0	0	1
9.7	SPIKE	30	30		3	0	0	1
10.1	SPIKE	31	31		3	0	0	1
10.2	sec	16.8	32	59.5	3	0	0	1
10.5	SPIKE	32	32		3	0	0	1
10.9	SPIKE	33	33		3	0	0	1
11.2	sec	16.5	33	60.5	3	0	0	1
